Fecha de Toma de Muestra,Hora de Toma de Muestra,Fecha de Entrega al Laboratorio,Codigo de la Muestra,NSPM,Codigo del Laboratorio,Tipo de Muestra,Clasificacion de la Muestra,Color Aparente,Turbiedad,pH,Cloro Residual Libre,Dureza Total,Hierro Total,Cloruros,Alcalinidad,Sulfatos,Nitratos,Coliformes Totales,Tecnica Empleada para la Determinacion de los Coliformes Totales,Escherichia Coli,Tecnica Empleada para la Determinacion de la Escherichia Coli,Resultados del IRCA por Muestra
1/15/2019,4:32:00,1/15/2019,0015-3,1,15.00,2.00,2.00,5.80,0.78,7.03,1.31,54.55,-1.42,11.43,41.22,11.12,6.56,0.00,1.00,0.00,0.00,25.90
1/16/2019,17:05:00,1/16/2019,0019-1,6,16.00,2.00,2.00,12.70,1.22,6.94,0.99,52.39,-1.76,10.10,42.96,8.34,3.99,0.00,1.00,0.00,0.00,23.18
1/17/2019,22:58:00,1/17/2019,0019-2,10,17.00,2.00,2.00,10.30,1.13,7.04,1.40,53.84,-2.78,9.65,43.37,13.17,6.81,0.00,1.00,0.00,0.00,23.96
1/18/2019,23:47:00,1/18/2019,0019-3,12,18.00,2.00,2.00,9.10,1.16,7.02,1.31,50.00,0.04,13.00,36.00,11.00,1.00,0.00,1.00,0.00,0.00,26.02
1/19/2019,1:17:00,1/19/2019,0023-1,9,19.00,2.00,2.00,8.00,0.87,6.70,1.32,51.70,0.10,12.93,40.51,11.46,7.40,0.00,1.00,0.00,0.00,21.34
1/20/2019,19:32:00,1/20/2019,0023-2,3,20.00,2.00,2.00,10.20,0.90,6.85,1.19,53.05,-2.71,12.48,43.46,8.46,4.73,0.00,1.00,0.00,0.00,22.05
1/21/2019,19:58:00,1/21/2019,0023-3,14,21.00,2.00,2.00,15.50,1.57,6.93,1.26,49.95,-1.59,10.04,40.84,10.52,7.74,0.00,1.00,0.00,0.00,19.35
1/22/2019,6:51:00,1/22/2019,0027-1,7,22.00,2.00,2.00,20.20,3.19,6.78,1.43,49.52,1.79,11.98,45.49,12.42,5.45,0.00,1.00,0.00,0.00,27.10
1/23/2019,10:51:00,1/23/2019,0027-2,12,23.00,2.00,2.00,14.60,1.94,6.90,1.24,50.04,-1.89,11.87,39.89,8.50,7.00,0.00,1.00,0.00,0.00,21.23
1/24/2019,13:28:00,1/24/2019,0031-1,2,24.00,2.00,2.00,12.60,1.54,6.72,1.31,52.00,-0.29,12.28,41.51,13.12,6.83,0.00,1.00,0.00,0.00,22.30
1/25/2019,3:12:00,1/25/2019,0031-2,1,25.00,2.00,2.00,11.90,1.32,6.86,1.36,53.40,2.60,12.72,39.70,8.43,5.68,0.00,1.00,0.00,0.00,24.24
1/26/2019,9:00:00,1/26/2019,0031-3,14,26.00,2.00,2.00,21.00,2.25,6.94,1.19,55.45,-2.90,10.44,41.56,7.53,7.47,0.00,1.00,0.00,0.00,27.10
1/27/2019,1:02:00,1/27/2019,0035-1,4,27.00,2.00,2.00,10.40,1.54,6.78,1.30,53.85,-0.07,13.81,45.20,13.32,6.68,0.00,1.00,0.00,0.00,22.73
1/28/2019,9:13:00,1/28/2019,0035-2,8,28.00,2.00,2.00,27.20,3.01,6.88,1.14,52.13,-0.57,10.29,42.07,13.08,5.05,0.00,1.00,0.00,0.00,46.45
1/29/2019,8:57:00,1/29/2019,0038-1,5,29.00,2.00,2.00,9.20,1.14,6.74,1.18,51.74,-2.11,8.93,41.15,11.56,6.73,0.00,1.00,0.00,0.00,24.94
1/30/2019,8:28:00,1/30/2019,0038-2,16,30.00,2.00,2.00,8.50,1.14,6.78,1.23,50.16,-0.99,13.27,43.11,13.20,7.96,0.00,1.00,0.00,0.00,22.35
1/31/2019,11:42:00,1/31/2019,0038-3,13,31.00,2.00,2.00,8.00,0.95,6.80,1.23,49.00,0.03,14.00,35.00,22.00,1.20,0.00,1.00,0.00,0.00,25.34
2/1/2019,11:17:00,2/1/2019,0042-1,6,32.00,2.00,2.00,22.20,2.54,6.71,1.09,53.62,0.50,12.60,40.34,8.93,5.64,0.00,1.00,0.00,0.00,27.10
2/2/2019,19:14:00,2/2/2019,0042-2,18,33.00,2.00,2.00,9.50,1.30,6.78,1.23,49.90,-2.58,9.98,44.95,12.34,5.56,0.00,1.00,0.00,0.00,21.71
2/3/2019,6:58:00,2/3/2019,0042-3,19,34.00,2.00,2.00,4.20,0.59,6.80,1.41,52.01,0.85,11.64,44.85,11.45,3.54,0.00,1.00,0.00,0.00,22.16
2/4/2019,1:48:00,2/4/2019,0046-1,7,35.00,2.00,2.00,7.00,0.97,6.86,1.44,52.18,2.93,13.55,44.90,9.11,7.93,0.00,1.00,0.00,0.00,21.89
2/5/2019,20:54:00,2/5/2019,0046-2,9,36.00,2.00,2.00,9.30,1.26,6.96,1.61,54.28,1.74,14.31,45.60,7.67,3.36,0.00,1.00,0.00,0.00,25.13
2/6/2019,5:54:00,2/6/2019,0046-3,3,37.00,2.00,2.00,31.70,3.20,6.92,1.17,52.00,0.08,11.00,39.00,17.00,1.60,0.00,1.00,0.00,0.00,23.33
2/7/2019,9:05:00,2/7/2019,0050-1,10,38.00,2.00,2.00,15.00,1.98,6.95,1.33,53.38,1.41,12.10,40.13,13.12,8.15,0.00,1.00,0.00,0.00,23.49
2/8/2019,18:03:00,2/8/2019,0050-2,15,39.00,2.00,2.00,9.00,1.02,7.06,1.26,51.58,-0.21,11.75,42.89,9.96,4.38,1.00,1.00,0.00,0.00,21.90
2/9/2019,18:21:00,2/9/2019,0050-3,20,40.00,2.00,2.00,2.50,0.26,7.10,1.67,53.32,2.01,9.39,41.27,10.79,6.38,0.00,1.00,0.00,0.00,24.29
2/10/2019,6:29:00,2/10/2019,0054-1,1,41.00,2.00,2.00,15.00,1.98,6.93,1.49,53.69,0.70,9.47,42.69,9.83,4.52,0.00,1.00,0.00,0.00,22.41
2/11/2019,18:03:00,2/11/2019,0054-2,2,42.00,2.00,2.00,13.40,1.66,7.08,1.40,55.17,0.30,13.93,39.89,10.77,6.73,0.00,1.00,0.00,0.00,25.39
2/12/2019,17:15:00,2/12/2019,0054-3,14,43.00,2.00,2.00,21.50,2.00,7.08,1.64,52.88,-0.92,11.29,44.56,7.47,3.78,0.00,1.00,0.00,0.00,7.74
2/13/2019,10:54:00,2/13/2019,0058-1,8,44.00,2.00,2.00,15.00,1.96,6.86,1.28,50.60,1.77,13.66,42.06,9.95,7.53,0.00,1.00,0.00,0.00,25.87
2/14/2019,2:38:00,2/14/2019,0058-2,12,45.00,2.00,2.00,15.00,1.94,6.96,1.02,53.67,-1.88,14.18,43.05,8.82,7.69,0.00,1.00,0.00,0.00,21.86
2/15/2019,18:44:00,2/15/2019,0058-3,17,46.00,2.00,2.00,9.60,1.20,6.91,1.07,50.64,-0.96,11.19,40.98,12.77,4.40,0.00,1.00,0.00,0.00,23.05
2/16/2019,7:26:00,2/16/2019,0061-1,4,47.00,2.00,2.00,6.50,0.84,7.00,1.39,49.54,-1.01,8.83,40.65,11.87,8.77,0.00,1.00,0.00,0.00,23.53
2/17/2019,18:11:00,2/17/2019,0061-2,3,48.00,2.00,2.00,7.10,0.97,6.98,1.31,52.48,-0.59,14.60,43.35,10.26,8.70,0.00,1.00,0.00,0.00,24.30
2/18/2019,7:28:00,2/18/2019,0061-3,16,49.00,2.00,2.00,8.40,0.97,7.00,1.34,54.64,-0.59,11.17,42.53,11.37,8.26,0.00,1.00,0.00,0.00,23.00
2/19/2019,9:24:00,2/19/2019,0065-1,7,50.00,2.00,2.00,8.20,0.76,7.00,1.20,49.60,0.89,11.81,42.96,12.86,6.16,0.00,1.00,0.00,0.00,25.30
2/20/2019,18:50:00,2/20/2019,0065-2,9,51.00,2.00,2.00,8.70,1.00,7.04,1.28,53.94,2.72,11.88,44.57,9.49,8.35,0.00,1.00,0.00,0.00,25.31
2/21/2019,3:52:00,2/21/2019,0065-3,5,52.00,2.00,2.00,6.60,0.68,7.10,1.35,54.00,0.03,10.00,42.00,18.00,1.70,0.00,1.00,0.00,0.00,26.44
2/22/2019,14:46:00,2/22/2019,0069-1,6,53.00,2.00,2.00,6.90,1.10,6.99,1.06,53.23,2.95,10.51,40.67,11.33,6.92,0.00,1.00,0.00,0.00,21.47
2/23/2019,14:23:00,2/23/2019,0069-2,10,54.00,2.00,2.00,4.40,0.66,7.12,1.16,53.34,1.32,14.43,39.83,11.65,5.43,0.00,1.00,0.00,0.00,21.50
2/24/2019,13:00:00,2/24/2019,0069-3,18,55.00,2.00,2.00,6.20,0.93,7.06,1.24,51.40,-0.56,13.10,45.52,11.58,5.75,0.00,1.00,0.00,0.00,26.26
2/25/2019,15:43:00,2/25/2019,0073-1,19,56.00,2.00,2.00,5.40,0.57,7.03,1.41,51.89,1.99,11.64,39.69,7.59,3.39,0.00,1.00,0.00,0.00,23.57
2/26/2019,2:01:00,2/26/2019,0073-2,8,57.00,2.00,2.00,21.20,3.07,7.00,1.25,54.60,2.28,9.23,42.42,9.88,3.31,0.00,1.00,0.00,0.00,46.45
2/27/2019,11:39:00,2/27/2019,0076-2,15,58.00,2.00,2.00,6.60,0.81,6.88,1.22,54.08,1.28,13.89,41.46,12.09,7.74,1.00,1.00,0.00,0.00,19.35
2/28/2019,6:56:00,2/28/2019,0079-1,1,59.00,2.00,2.00,4.00,0.74,6.77,1.48,53.88,2.31,10.59,45.55,11.43,4.29,0.00,1.00,0.00,0.00,23.60
3/1/2019,7:36:00,3/1/2019,0079-2,2,60.00,2.00,2.00,5.40,0.82,6.88,1.45,55.35,-1.87,9.39,40.46,7.81,8.75,0.00,1.00,0.00,0.00,22.17
3/2/2019,18:51:00,3/2/2019,0079-3,14,61.00,2.00,2.00,5.20,0.81,6.86,1.58,54.17,-2.33,12.39,44.07,12.81,6.34,0.00,1.00,0.00,0.00,24.25
3/3/2019,21:43:00,3/3/2019,0082-1,4,62.00,2.00,2.00,2.80,0.32,6.79,1.42,50.04,-1.81,10.91,40.53,12.37,6.51,0.00,1.00,0.00,0.00,22.85
3/4/2019,20:13:00,3/4/2019,0082-2,12,63.00,2.00,2.00,7.50,0.98,6.78,1.38,52.78,-2.14,14.67,40.77,13.05,5.58,1.00,1.00,0.00,0.00,19.35
3/5/2019,12:24:00,3/5/2019,0082-3,17,64.00,2.00,2.00,2.50,0.17,6.94,1.49,52.65,1.47,9.53,41.80,10.15,5.55,0.00,1.00,0.00,0.00,24.77
3/6/2019,20:40:00,3/6/2019,0085-1,13,65.00,2.00,2.00,6.80,0.93,7.20,1.28,55.35,-1.32,11.99,40.33,12.58,8.73,0.00,1.00,0.00,0.00,23.09
3/7/2019,3:52:00,3/7/2019,0085-2,16,66.00,2.00,2.00,12.20,1.57,7.12,1.22,54.56,2.04,9.82,40.06,11.12,4.41,0.00,1.00,0.00,0.00,23.03
3/8/2019,7:48:00,3/8/2019,0085-3,18,67.00,2.00,2.00,4.00,0.56,7.06,1.00,52.61,1.48,10.88,40.96,11.92,4.16,0.00,1.00,0.00,0.00,24.76
3/9/2019,4:26:00,3/9/2019,0089-1,5,68.00,2.00,2.00,2.50,0.45,6.81,1.12,49.69,2.09,11.76,42.57,12.39,7.33,0.00,1.00,0.00,0.00,25.90
3/10/2019,16:45:00,3/10/2019,0089-2,9,69.00,2.00,2.00,15.00,1.69,6.84,1.38,54.16,-1.64,11.35,43.79,8.43,8.61,0.00,1.00,0.00,0.00,25.42
3/11/2019,21:02:00,3/11/2019,0089-3,7,70.00,2.00,2.00,4.40,0.79,6.86,1.45,38.00,0.02,13.00,20.00,14.00,8.00,0.00,1.00,0.00,0.00,22.14
3/12/2019,17:54:00,3/12/2019,0093-1,3,71.00,2.00,2.00,5.40,1.21,6.96,1.39,55.31,1.42,12.27,41.87,8.96,8.62,0.00,1.00,0.00,0.00,21.06
3/13/2019,20:35:00,3/13/2019,0093-2,6,72.00,2.00,2.00,9.50,1.60,6.86,1.14,54.38,-1.84,9.75,41.70,11.41,3.26,0.00,1.00,0.00,0.00,23.90
3/14/2019,21:47:00,3/14/2019,0093-3,8,73.00,2.00,2.00,15.00,1.92,6.90,1.37,55.33,0.94,13.17,43.64,7.41,5.24,0.00,1.00,0.00,0.00,22.53
3/15/2019,20:28:00,3/15/2019,0097-1,12,74.00,2.00,2.00,12.40,1.98,6.98,1.42,54.07,1.38,13.79,41.42,11.01,6.97,0.00,1.00,0.00,0.00,26.23
3/16/2019,1:49:00,3/16/2019,0097-2,19,75.00,2.00,2.00,8.40,0.72,7.04,1.38,52.94,-0.33,11.29,39.77,8.95,3.83,0.00,1.00,0.00,0.00,21.40
3/17/2019,14:45:00,3/17/2019,0097-3,4,76.00,2.00,2.00,14.20,1.60,7.04,1.45,46.00,0.03,11.00,36.00,13.00,1.00,0.00,1.00,0.00,0.00,23.23
3/18/2019,6:46:00,3/18/2019,0101-1,10,77.00,2.00,2.00,20.00,2.00,7.08,1.33,55.29,2.37,13.12,45.01,12.70,5.80,0.00,1.00,0.00,0.00,7.74
3/19/2019,10:31:00,3/19/2019,0101-2,15,78.00,2.00,2.00,3.40,0.71,7.08,1.24,51.09,1.00,10.52,43.77,9.42,4.87,0.00,1.00,0.00,0.00,21.23
3/20/2019,17:13:00,3/20/2019,0101-3,20,79.00,2.00,2.00,3.60,0.66,7.06,1.59,50.47,0.41,14.38,40.22,7.80,6.15,0.00,1.00,0.00,0.00,23.02
3/21/2019,10:54:00,3/21/2019,0105-1,1,80.00,2.00,2.00,15.00,1.98,7.00,1.37,54.75,-0.15,14.62,43.90,13.16,7.87,0.00,1.00,0.00,0.00,24.84
3/22/2019,13:27:00,3/22/2019,0105-2,2,81.00,2.00,2.00,10.60,1.90,6.98,1.38,54.84,-1.02,11.96,40.43,10.75,6.65,0.00,1.00,0.00,0.00,26.43
3/23/2019,13:56:00,3/23/2019,0105-3,14,82.00,2.00,2.00,15.00,1.98,7.06,1.25,51.84,-2.77,14.09,43.10,8.74,3.83,0.00,1.00,0.00,0.00,21.84
3/24/2019,1:36:00,3/24/2019,0109-1,12,83.00,2.00,2.00,14.90,1.77,7.07,1.74,54.99,-1.59,12.38,40.67,9.51,6.57,0.00,1.00,0.00,0.00,23.52
3/25/2019,7:45:00,3/25/2019,0109-2,13,84.00,2.00,2.00,27.40,3.04,7.07,1.40,52.83,-1.00,13.48,43.39,9.11,2.97,0.00,1.00,0.00,0.00,27.10
3/26/2019,5:30:00,3/26/2019,0109-3,17,85.00,2.00,2.00,12.40,1.42,7.05,1.19,53.97,0.15,12.30,45.63,8.73,6.70,0.00,1.00,0.00,0.00,22.13
3/27/2019,22:42:00,3/27/2019,0112-1,5,86.00,2.00,2.00,4.20,0.42,6.94,1.19,49.92,0.90,9.99,43.07,10.14,7.47,0.00,1.00,0.00,0.00,23.06
3/28/2019,13:29:00,3/28/2019,0112-2,9,87.00,2.00,2.00,6.10,0.62,6.94,1.22,51.80,2.17,9.40,42.14,8.78,4.58,0.00,1.00,0.00,0.00,24.62
3/29/2019,11:46:00,3/29/2019,0112-3,16,88.00,2.00,2.00,9.10,0.94,6.97,1.34,55.40,-1.98,13.46,44.53,9.20,5.88,0.00,1.00,0.00,0.00,23.64
3/30/2019,6:50:00,3/30/2019,0116-1,1,89.00,2.00,2.00,5.30,0.73,7.24,1.43,54.12,-1.71,9.56,43.37,12.84,3.83,0.00,1.00,0.00,0.00,21.31
3/31/2019,21:06:00,3/31/2019,0116-2,2,90.00,2.00,2.00,8.40,0.94,7.14,1.54,46.00,0.03,11.00,38.00,13.00,1.50,0.00,1.00,0.00,0.00,22.89
4/1/2019,18:34:00,4/1/2019,0116-3,6,91.00,2.00,2.00,15.00,1.97,7.12,1.15,51.66,-2.60,10.51,44.01,8.88,6.62,0.00,1.00,0.00,0.00,23.76
4/2/2019,8:21:00,4/2/2019,0120-1,4,92.00,2.00,2.00,9.40,1.09,6.90,1.45,55.31,0.96,12.71,44.55,9.75,3.92,0.00,1.00,0.00,0.00,26.43
4/3/2019,22:49:00,4/3/2019,0120-2,8,93.00,2.00,2.00,14.80,1.96,6.88,1.37,49.72,-1.31,9.39,40.87,7.60,4.19,0.00,1.00,0.00,0.00,26.39
4/4/2019,2:30:00,4/4/2019,0120-3,13,94.00,2.00,2.00,10.00,1.28,6.93,1.38,54.16,0.05,13.76,42.16,12.95,6.05,0.00,1.00,0.00,0.00,25.79
4/5/2019,20:19:00,4/5/2019,0124-1,9,95.00,2.00,2.00,12.50,1.36,6.97,1.36,51.32,-0.13,13.31,40.21,9.78,6.32,0.00,1.00,0.00,0.00,21.68
4/6/2019,13:57:00,4/6/2019,0124-2,16,96.00,2.00,2.00,12.20,1.28,6.92,1.35,50.27,-1.90,14.01,42.52,11.63,6.87,0.00,1.00,0.00,0.00,24.11
4/7/2019,15:46:00,4/7/2019,0124-3,19,97.00,2.00,2.00,10.00,1.27,6.90,1.23,53.00,0.04,11.00,36.00,22.00,0.70,0.00,1.00,0.00,0.00,20.94
4/8/2019,10:58:00,4/8/2019,0128-1,10,98.00,2.00,2.00,11.40,1.43,6.91,1.47,52.14,1.81,11.96,44.11,8.92,5.02,0.00,1.00,0.00,0.00,21.59
4/9/2019,14:59:00,4/9/2019,0128-2,12,99.00,2.00,2.00,11.20,1.30,6.96,1.58,55.11,2.03,14.24,40.03,11.62,6.79,0.00,1.00,0.00,0.00,20.76
4/10/2019,10:56:00,4/10/2019,0128-3,14,100.00,2.00,2.00,10.70,1.18,7.04,1.60,49.98,-1.78,11.66,39.76,8.14,2.93,1.00,1.00,0.00,0.00,19.00
4/11/2019,22:20:00,4/11/2019,0132-1,3,101.00,2.00,2.00,11.30,1.11,6.88,1.38,52.84,1.06,11.89,43.07,12.21,7.77,0.00,1.00,0.00,0.00,20.71
4/12/2019,13:54:00,4/12/2019,0132-2,15,102.00,2.00,2.00,5.80,0.54,6.90,1.29,54.59,-1.63,14.30,43.97,7.93,3.50,0.00,1.00,0.00,0.00,26.08
4/13/2019,22:20:00,4/13/2019,0132-3,20,103.00,2.00,2.00,3.00,0.28,6.95,1.57,49.82,-0.21,10.25,41.80,9.91,6.66,0.00,1.00,0.00,0.00,25.88
4/14/2019,4:40:00,4/14/2019,0136-1,17,104.00,2.00,2.00,7.70,0.84,6.84,1.03,54.37,0.95,11.75,40.42,10.10,4.76,0.00,1.00,0.00,0.00,21.18
4/15/2019,12:51:00,4/15/2019,0136-2,5,105.00,2.00,2.00,7.00,0.76,6.88,0.91,49.56,-1.05,12.61,42.14,10.58,4.47,0.00,1.00,0.00,0.00,26.00
4/16/2019,19:53:00,4/16/2019,0136-3,7,106.00,2.00,2.00,25.00,2.50,6.92,1.24,53.45,-2.34,12.12,39.75,12.01,3.68,0.00,1.00,0.00,0.00,27.00
4/17/2019,1:36:00,4/17/2019,0139-1,18,107.00,2.00,2.00,15.00,1.98,6.90,1.09,51.81,1.40,9.55,45.48,7.82,7.49,0.00,1.00,0.00,0.00,22.58
4/18/2019,0:20:00,4/18/2019,0139-2,4,108.00,2.00,2.00,5.20,0.61,7.00,1.29,52.09,2.65,12.04,43.22,10.86,8.90,0.00,1.00,0.00,0.00,20.92
4/19/2019,4:18:00,4/19/2019,0139-3,6,109.00,2.00,2.00,25.10,2.60,7.02,0.87,49.68,-0.05,12.04,39.67,12.01,8.89,0.00,1.00,0.00,0.00,27.00
4/20/2019,11:01:00,4/20/2019,0143-1,12,110.00,2.00,2.00,15.00,1.91,7.04,1.09,51.79,-1.03,9.19,40.84,13.19,5.55,0.00,1.00,0.00,0.00,25.51
4/21/2019,1:57:00,4/21/2019,0143-2,13,111.00,2.00,2.00,6.30,0.80,6.96,1.19,54.92,2.08,9.17,40.55,11.43,4.65,0.00,1.00,0.00,0.00,22.54
4/22/2019,17:59:00,4/22/2019,0143-3,16,112.00,2.00,2.00,7.70,1.04,6.94,1.21,54.00,0.03,11.00,38.00,20.00,1.50,0.00,1.00,0.00,0.00,23.33
4/23/2019,15:47:00,4/23/2019,0146-1,8,113.00,2.00,2.00,33.60,3.86,6.84,1.19,52.73,1.29,13.86,39.79,9.91,6.88,0.00,1.00,0.00,0.00,27.00
4/24/2019,17:56:00,4/24/2019,0146-2,11,114.00,2.00,2.00,20.80,2.73,7.76,1.47,55.26,0.20,12.24,40.24,8.80,7.42,0.00,1.00,0.00,0.00,27.00
4/25/2019,19:22:00,4/25/2019,0146-3,9,115.00,2.00,2.00,7.60,0.88,7.22,1.17,50.76,-1.82,11.11,43.72,13.01,4.02,0.00,1.00,0.00,0.00,22.73
4/26/2019,11:24:00,4/26/2019,0149-1,17,116.00,2.00,2.00,2.70,0.57,7.00,1.32,49.81,-1.64,14.50,43.20,8.46,7.76,0.00,1.00,0.00,0.00,22.04
4/27/2019,7:36:00,4/27/2019,0149-2,19,117.00,2.00,2.00,3.40,0.64,7.08,1.36,55.06,0.41,10.00,41.42,8.82,7.24,0.00,1.00,0.00,0.00,24.60
4/28/2019,0:24:00,4/28/2019,0149-3,10,118.00,2.00,2.00,4.20,0.76,7.14,1.39,51.00,0.02,7.00,42.00,10.00,0.70,0.00,1.00,0.00,0.00,20.76
4/29/2019,22:43:00,4/29/2019,0153-1,1,119.00,2.00,2.00,8.40,1.08,6.89,1.28,52.23,1.47,10.81,40.07,10.88,8.68,0.00,1.00,0.00,0.00,21.51
4/30/2019,0:35:00,4/30/2019,0153-2,2,120.00,2.00,2.00,8.40,1.08,6.84,1.24,54.29,2.66,13.20,40.65,10.61,7.86,0.00,1.00,0.00,0.00,23.25
5/1/2019,0:36:00,5/1/2019,0153-3,14,121.00,2.00,2.00,2.50,0.22,6.92,1.46,54.06,-2.58,11.06,44.90,8.38,8.03,0.00,1.00,0.00,0.00,20.83
5/2/2019,17:34:00,5/2/2019,0157-1,3,122.00,2.00,2.00,3.60,0.34,7.02,0.96,50.64,1.88,12.29,41.65,7.64,6.32,0.00,1.00,0.00,0.00,24.15
5/3/2019,21:30:00,5/3/2019,0157-2,15,123.00,2.00,2.00,7.00,0.39,7.04,1.04,50.33,1.32,13.49,41.64,8.53,6.19,0.00,1.00,0.00,0.00,23.16
5/4/2019,12:36:00,5/4/2019,0157-3,20,124.00,2.00,2.00,2.50,0.21,7.02,1.50,55.21,-0.35,12.45,45.62,9.81,7.37,0.00,1.00,0.00,0.00,25.33
5/5/2019,2:34:00,5/5/2019,0161-1,5,125.00,2.00,2.00,4.50,0.65,7.10,1.28,51.35,-1.59,12.72,41.50,8.75,7.10,0.00,1.00,0.00,0.00,25.91
5/6/2019,22:31:00,5/6/2019,0161-2,7,126.00,2.00,2.00,5.00,0.53,7.17,1.27,50.07,1.35,11.54,41.92,11.67,6.72,0.00,1.00,0.00,0.00,22.22
5/7/2019,7:17:00,5/7/2019,0161-3,18,127.00,2.00,2.00,3.50,0.53,7.14,1.29,52.92,-1.25,9.31,40.03,10.34,4.39,0.00,1.00,0.00,0.00,23.93
5/8/2019,2:20:00,5/8/2019,0165-1,2,128.00,2.00,2.00,2.50,0.43,6.75,1.28,51.04,2.79,12.18,42.62,11.79,4.77,0.00,1.00,0.00,0.00,26.43
5/9/2019,13:27:00,5/9/2019,0165-2,6,129.00,2.00,2.00,15.00,1.98,6.76,1.00,55.38,1.44,9.03,44.81,11.45,7.65,0.00,1.00,0.00,0.00,23.64
5/10/2019,19:52:00,5/10/2019,0165-3,12,130.00,2.00,2.00,9.60,1.28,6.85,1.34,53.28,-1.61,11.23,44.08,11.64,8.67,0.00,1.00,0.00,0.00,24.77
5/11/2019,16:18:00,5/11/2019,0169-1,8,131.00,2.00,2.00,15.00,1.99,7.10,1.16,52.80,-0.95,9.86,41.20,12.58,4.82,0.00,1.00,0.00,0.00,24.12
5/12/2019,14:55:00,5/12/2019,0169-2,17,132.00,2.00,2.00,9.10,1.14,7.20,1.04,51.20,-0.92,14.46,43.51,10.70,8.72,0.00,1.00,0.00,0.00,21.31
5/13/2019,2:33:00,5/13/2019,0169-3,9,133.00,2.00,2.00,5.60,0.55,7.24,1.37,52.00,0.01,14.00,44.00,6.00,1.50,0.00,1.00,0.00,0.00,22.62
5/14/2019,0:40:00,5/14/2019,0173-1,13,134.00,2.00,2.00,2.50,0.55,7.16,1.42,52.03,2.58,13.80,41.96,12.77,7.18,0.00,1.00,0.00,0.00,26.11
5/15/2019,12:21:00,5/15/2019,0173-2,16,135.00,2.00,2.00,3.20,0.52,7.21,1.36,53.44,-0.85,9.57,39.94,12.83,8.75,0.00,1.00,0.00,0.00,25.31
